Movie_Names,Descriptions,Release_Dates,Director_Names,Ratings,Durations,Actors_list,Filming_Dates
Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",2006,Tom Tykwer,7.5,147 min,"['Ben Whishaw', 'Dustin Hoffman', 'Alan Rickman', 'Francesc Albiol']",12 July 2005 - October 2005
3:10 to Yuma,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,2007,James Mangold,7.7,122 min,"['Russell Crowe', 'Christian Bale', 'Ben Foster', 'Logan Lerman']",23 October 2006 - 20 January 2007
Lucky Number Slevin,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",2006,Paul McGuigan,7.7,110 min,"['Josh Hartnett', 'Ben Kingsley', 'Morgan Freeman', 'Lucy Liu']",7 December 2004 - February 2005
Fargo,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,1996,Joel Coen,8.1,98 min,"['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare']",22 January 1995 - 22 March 1995
Jackie Brown,A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.,1997,Quentin Tarantino,7.5,154 min,"['Pam Grier', 'Samuel L. Jackson', 'Robert Forster', 'Bridget Fonda']",26 May 1997 - 8 August 1997
Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2000,Guy Ritchie,8.3,104 min,"['Jason Statham', 'Brad Pitt', 'Stephen Graham', 'Vinnie Jones']",18 October 1999 - 12 December 1999
Before the Devil Knows You're Dead,"When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife hurtling towards a shattering climax.",2007,Sidney Lumet,7.3,117 min,"['Philip Seymour Hoffman', 'Ethan Hawke', 'Albert Finney', 'Marisa Tomei']",19 June 2006
Zodiac,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",2007,David Fincher,7.7,157 min,"['Jake Gyllenhaal', 'Robert Downey Jr.', 'Mark Ruffalo', 'Anthony Edwards']",8 August 2005
Face/Off,"To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely and seeks revenge.",1997,John Woo,7.2,138 min,"['John Travolta', 'Nicolas Cage', 'Joan Allen', 'Alessandro Nivola']",31 October 1996 - 1 April 1997
Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",1969,George Roy Hill,8,110 min,"['Paul Newman', 'Robert Redford', 'Katharine Ross', 'Strother Martin']",16 September 1968 - January 1969
Road to Perdition,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",2002,Sam Mendes,7.7,117 min,"['Tom Hanks', 'Tyler Hoechlin', 'Rob Maxey', 'Liam Aiken']",5 March 2001 - June 2001
BlacKkKlansman,"Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",2018,Spike Lee,7.5,135 min,"['John David Washington', 'Adam Driver', 'Laura Harrier', 'Topher Grace']",October 2017
Nightcrawler,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",2014,Dan Gilroy,7.8,117 min,"['Jake Gyllenhaal', 'Rene Russo', 'Bill Paxton', 'Riz Ahmed']",6 October 2013
Traffic,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",2000,Steven Soderbergh,7.6,147 min,"['Michael Douglas', 'Benicio Del Toro', 'Catherine Zeta-Jones', 'Jacob Vargas']",8 April 2000 - 21 June 2000
American History X,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,1998,Tony Kaye,8.5,119 min,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']",17 March 1997 - 21 May 1997
Mr. Brooks,A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.,2007,Bruce A. Evans,7.3,120 min,"['Kevin Costner', 'Demi Moore', 'William Hurt', 'Dane Cook']",17 April 2006
Midnight Run,"An accountant is chased by bounty hunters, the F.B.I., and the Mafia after jumping bail.",1988,Martin Brest,7.5,126 min,"['Robert De Niro', 'Charles Grodin', 'Yaphet Kotto', 'John Ashton']",26 October 1987 - 20 February 1988
Mean Streets,A small-time hood tries to keep the peace between his friend Johnny and Johnny's creditors.,1973,Martin Scorsese,7.2,112 min,"['Robert De Niro', 'Harvey Keitel', 'David Proval', 'Amy Robinson']",April 1973 - June 1973
Chinjeolhan geumjassi,"After being wrongfully imprisoned for thirteen years and having her child taken away from her, a woman seeks revenge through increasingly brutal means.",2005,Park Chan-Wook,7.6,115 min,"['Nam-mi Kang', 'Jeong-nam Choi', 'Hye-Sook Go', 'Bok-hwa Baek']",1 December 2004 - 7 May 2005
Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",2017,Edgar Wright,7.6,113 min,"['Ansel Elgort', 'Jon Bernthal', 'Jon Hamm', 'Eiza González']",17 February 2016 - 13 May 2016
Bonnie and Clyde,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,Arthur Penn,7.8,111 min,"['Warren Beatty', 'Faye Dunaway', 'Michael J. Pollard', 'Gene Hackman']",4 October 1966 - 1 January 1967
The Score,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,2001,Frank Oz,6.8,124 min,"['Robert De Niro', 'Edward Norton', 'Marlon Brando', 'Angela Bassett']",31 May 2000 - 3 October 2000
Monster,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",2003,Patty Jenkins,7.3,109 min,"['Charlize Theron', 'Christina Ricci', 'Bruce Dern', 'Lee Tergesen']",4 February 2003 - 9 March 2003
American Gangster,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",2007,Ridley Scott,7.8,157 min,"['Denzel Washington', 'Russell Crowe', 'Chiwetel Ejiofor', 'Josh Brolin']",31 July 2006 - 14 November 2006
